"","Agonopsis sterletus","Agonopsis vulsa","Albatrossia pectoralis","Alepocephalus tenebrosus","Allosmerus elongatus","Alosa sapidissima","Amphistichus argenteus","Amphistichus rhodoterus","Anarrhichthys ocellatus","Anoplopoma fimbria","Antimora microlepis","Aphanopus intermedius","Apristurus brunneus","Apristurus kampae","Arctozenus risso","Argentina sialis","Argyropelecus affinis","Argyropelecus lychnus","Aristostomias scintillans","Atheresthes stomias","Atherinops affinis","Atherinopsis californiensis","Bathyagonus nigripinnis","Bathyagonus pentacanthus","Bathylagus pacificus","Bathyraja aleutica","Bathyraja spinosissima","Bathyraja trachura","Bothrocara brunneum","Brosmophycis marginata","Careproctus cypselurus","Careproctus gilberti","Careproctus melanurus","Cataetyx rubrirostris","Chauliodus macouni","Chesnonia verrucosa","Chiasmodon niger","Chilara taylori","Chitonotus pugetensis","Citharichthys sordidus","Citharichthys stigmaeus","Clinocottus acuticeps","Coryphaenoides acrolepis","Coryphaenoides cinereus","Cymatogaster aggregata","Dasycottus setiger","Diaphus theta","Elassodiscus caudatus","Embassichthys bathybius","Embiotoca lateralis","Engraulis mordax","Enophrys bison","Enophrys taurina","Eopsetta jordani","Eptatretus deani","Eptatretus stoutii","Gadus macrocephalus","Galeorhinus galeus","Gasterosteus aculeatus","Genyonemus lineatus","Glyptocephalus zachirus","Hemilepidotus spinosus","Hexagrammos decagrammus","Hexanchus griseus","Hippoglossina stomata","Hippoglossus stenolepis","Howella brodiei","Hydrolagus colliei","Hyperprosopon anale","Icelinus burchami","Icelinus filamentosus","Icelinus fimbriatus","Icelinus tenuis","Icichthys lockingtoni","Icosteus aenigmaticus","Idiacanthus antrostomus","Isopsetta isolepis","Jordania zonope","Kathetostoma averruncus","Lepidopsetta bilineata","Leptoclinus maculatus","Leptocottus armatus","Lestidiops ringens","Leuroglossus schmidti","Leuroglossus stilbius","Lycenchelys camchatica","Lycenchelys crotalinus","Lycodapus endemoscotus","Lycodapus fierasfer","Lycodapus mandibularis","Lycodes cortezianus","Lycodes diapterus","Lycodes pacificus","Lyconema barbatum","Lyopsetta exilis","Macropinna microstoma","Malacocephalus laevis","Melanostigma pammelas","Merluccius productus","Microgadus proximus","Microstomus pacificus","Mola mola","Mustelus californicus","Mustelus henlei","Myliobatis californica","Nansenia candida","Nautichthys oculofasciatus","Nectoliparis pelagicus","Nezumia liolepis","Nezumia stelgidolepis","Odontopyxis trispinosa","Oncorhynchus kisutch","Oncorhynchus tshawytscha","Ophidion scrippsae","Ophiodon elongatus","Paralichthys californicus","Paraliparis dactylosus","Parmaturus xaniurus","Parophrys vetulus","Peprilus simillimus","Phanerodon atripes","Phanerodon furcatus","Physiculus rastrelliger","Platichthys stellatus","Pleuronichthys coenosus","Pleuronichthys decurrens","Pleuronichthys ritteri","Pleuronichthys verticalis","Porichthys notatus","Poromitra crassiceps","Psettichthys melanostictus","Radulinus asprellus","Rhacochilus toxotes","Rhacochilus vacca","Rhinoliparis attenuatus","Ronquilus jordani","Sagamichthys abei","Sardinops sagax","Scomber japonicus","Sebastes alutus","Sebastes auriculatus","Sebastes aurora","Sebastes babcocki","Sebastes brevispinis","Sebastes carnatus","Sebastes caurinus","Sebastes chlorostictus","Sebastes constellatus","Sebastes crameri","Sebastes diploproa","Sebastes elongatus","Sebastes emphaeus","Sebastes ensifer","Sebastes entomelas","Sebastes eos","Sebastes flavidus","Sebastes goodei","Sebastes helvomaculatus","Sebastes hopkinsi","Sebastes jordani","Sebastes levis","Sebastes macdonaldi","Sebastes maliger","Sebastes melanops","Sebastes melanostomus","Sebastes mystinus","Sebastes nigrocinctus","Sebastes ovalis","Sebastes paucispinis","Sebastes pinniger","Sebastes proriger","Sebastes rastrelliger","Sebastes reedi","Sebastes rosaceus","Sebastes rosenblatti","Sebastes ruberrimus","Sebastes rubrivinctus","Sebastes rufus","Sebastes saxicola","Sebastes semicinctus","Sebastes serranoides","Sebastes wilsoni","Sebastes zacentrus","Sebastolobus alascanus","Sebastolobus altivelis","Somniosus pacificus","Spirinchus starksi","Spirinchus thaleichthys","Squalus suckleyi","Squatina californica","Stenobrachius leucopsarus","Sternoptyx diaphana","Stomias atriventer","Symbolophorus californiensis","Synodus lucioceps","Tactostoma macropus","Talismania bifurcata","Tarletonbeania crenularis","Tetragonurus cuvieri","Thaleichthys pacificus","Trachipterus altivelis","Trachurus symmetricus","Xeneretmus latifrons","Xystreurys liolepis","Zalembius rosaceus","Zaniolepis frenata","Zaniolepis latipinnis"
"1",0,0,0,0,0.04237028,21.02710221,0,0.1747667,0.6141392,439.40016586,1.24062056,0,37.8694707,0,0,0.290590842,0.005664759,0,0,30.2261997,0,0,0,0.001106451,0,0.49745,0,1.453436,1.413044,0,0,0,8.43448482,0,0,0,0,2.975480107,0,3509.7171062,0,0,0,0,2.943365053,0.05940886,0.059274355,0,2.7365873,0,1.035495816,0.69943889,0.0296315,247.46167432,0,0,5.243002,24.17509,0,415.61545313,608.30289426,0,0.5754076,0,0,3.706247,0,737.628372736,0.23527526,0,2.106121728,0,0,0.005484604,0,0.00552184,0,0,0,3.8956565,0,0.1609453,0,0,0.002337706,0,0.07537027,0.01153963,0,0,65.26686916,18.76926971,6.001251174,0,54.6401133,0,0,0,1556.899343473,5.439743672,1593.589217112,0,0.2895392,0,0,0,0.05940886,0,0,2.19672956,0,0.8391817,2.020975,0,187.853440578,0.9519158,0.01303591,17.9047074,620.8987302,16.18544875,0,0,0,50.127139,0,37.641080447,2.2659197,0,51.30640577,0,1.4320844,0.01248639,0,0,0,0,0,0.01781779,0,0,10.97986466,85.99263092,2.65569208,0,0,5.5286386,43.43776909,0.2422769,32.78643327,817.248157003,87.747971888,0.1627469,0,26.15517316,0.4144789,20.5044322,5669.334413479,0.4737757,2.089638,3264.792308302,0.31854795,0,0,0,3.18009722,4.21235492,0.3335908,0,44.197365989,27.07336707,0.1569227,0,0,0,0.3387363,9.585122,0,0,655.020305882,0.1034451,0,0.051153011,0.2516896,104.381821729,120.5344511,0,0.05380938,0.059533499,2776.1302475,1.358607,0,0,0,0,0,0,0,0.053106939,0,1.30116331,0,0,0.006272287,0,27.840724615,0,2.309951018
"2",0,0.005515845,0.7837234,0.0447842,0.19221885,53.99523078,0.2023995,0,6.7887078,3434.91534978,1.64792495,0,109.66494812,0,0.1507275,10.940797005,0,0,0.06714398,48.08687368,0.1934686,0.02727233,0.065027986,0.019451074,0,0,0.3016604,0,2.3392155,0,0,0,1.946250937,0.3611395,0.046114237,0,0,5.422500074,0.343336257,2813.18176924,0,0,0,0,2.47056914,0,0.010860468,0.004571768,3.4906889,0,179.63859789,0,1.41612751,701.92962354,0,0.04839604,0,5.023528,0.002566946,984.15045624,1605.077070127,0.2605464,0,5.5576587,0.1330136,6.7272299,0,680.60628522,0.16355171,0,0.71109783,0.10856366,0,0.05396921,0,0,0,0,0,30.62840169,0,0.181539,0.004858597,0.0155895,0.008874596,0,0.003903038,0.10219419,0,0.00466942,129.92985621,37.461566944,16.732287839,0,137.479437936,0,0,0,10510.634671477,12.8180444,4531.42661875,0,0.833806,30.8927172,0,0.004858597,0,0,0,1.42279362,0,0.1041754,22.8564602,0,1027.946398177,10.557438,0.02370015,79.29415607,1283.41017962,33.83044818,0,0.23280397,0.07033802,15.72805611,0,59.04589665,0,6.09576409,140.36688538,0,1.201381,0.020066526,0,0,0,0,0,5.46716806,0,0.7953629,5.41619625,212.24554935,5.07621277,0,0.1596163,31.57979,84.14124526,0.34589051,115.892854169,6244.686120561,100.625958045,0,0,71.1537433,0,125.8709713,7101.76139463,3.72233038,17.1759513,2200.423816814,29.00470295,0,0,0,96.49585351,0.1696731,0,0,662.23935251,85.53256654,0.22592771,0.03603862,0,0,7.4629532,5.1938385,0.1379444,4.06925254,1940.503878994,82.486587813,1.60020621,0,44.85867213,137.88824516,110.70557395,0,0.02248883,0,4960.43627235,0,0.042519982,0,0.015512191,0,0,0.041783179,0,0.015672947,0,0.93691094,0,12.68769149,0.10061497,0,68.1138904,0.35367823,7.033685939
"3",0,0.02465262,0.2322531,1.2185685,0.112254365,38.21147405,0,0,2.731907,849.83660178,0.417741,0,50.30612644,0,0,1.00935114,0.006149047,0,0.11838361,8.2302227,0,0,0,0,0,0,0,0,0.554652217,0,0,0,1.74574182,0.009343895,0,0,0,0.38050996,0.018853306,884.59404217,0,0,0.004902561,0,1.98438963,0,0.008900995,0,0.8349787,0,6.06403355,0,1.2968052,511.23137198,0.34602675,0,0,0,0,130.8034921,510.708572687,0,1.155663,0.7676574,0.0323589,6.74595,0,218.3851853,0.44785519,0,0.1531172,0.07562571,0,0.006074953,0,0.009404885,0,0.5974693,0,17.8832329,0,0.10030951,0,0.017770593,0.01139823,0,0.33443326,0.021125981,0,0,29.785653277,11.31326041,7.29397753,0,72.314151542,0,0,0,2684.209354487,1.98080532,1601.55139731,0,0.7391992,0.5097442,0,0,0,0,0,3.10992586,0,0,0,0,340.0655852,7.7893211,0,70.98950423,714.64173896,22.84309122,0,0,0,14.009278,0,32.89035292,0,1.64795048,70.02520323,0,0,0.02522481,0,0.05857879,0,0.02195468,0,2.720915477,0.5180416,0,9.0713522,122.6916811,2.1817827,0,0,8.366031,9.71697589,0.08600284,25.50034479,1032.30910516,125.11662749,0,0,65.97639189,0,21.344898,7845.3869165,2.8670147,0.04347352,4742.11720098,9.88643969,0,0,0,6.1030758,0,0,0,218.5894335,12.0283698,0,0,0,0.06478928,0.4497787,0.3841148,0,1.1666674,1544.129376031,72.2027288,0.5045096,0.4642375,1.98204754,142.84261768,137.6195268,0,0,0,1662.3744449,0,0,0,0.02075069,0,0.0107863,0,0,0.013599917,0,0,0,140.37915746,0,0,71.00492033,0,3.23739199
"4",0,0,0,0,0.125466825,28.1461322,0,0,3.004018,562.5495136,0.5059624,0,42.838734462,0,0,0.72109945,0,0,0.0253215,20.37142,0,0,0,0.009685386,0,0,0,0,0.327477,0,0,0,0.75017518,0.01270435,0,0,0,0.60123009,0.02410861,542.3506611,0,0.0131683,1.109275,0,1.1508006,0,0,0,0.7931493,0,142.93936497,0,0.1448513,527.0559808,0,0.24681244,0,0,0,171.92191,608.3089191,0,0,38.44037,0.06027153,23.389604,0,159.0116144,0.01165934,0,1.28008075,0.114548,0,0,0,0.020967264,0,0,0,9.1835895,0,0.1507777,0,0,0,0,0,0.004707534,0,0,56.72892575,10.89531403,2.27992849,0,29.18401684,0,0,0,1048.41949361,0.2372137,1566.61068267,0,0.2632137,4.188235,0,0,0,0.01249465,0,0.74566043,0,0,0,0,283.1989058,0,0,45.97965151,294.71230967,50.16931039,0,0,0,3.243441,0,11.35565369,0.1496794,2.313338936,32.312655759,0,0.2627711,0.055481103,0,0,0,0,0,0.79315477,5.03762679,0,1.89741591,85.16078881,8.9953344,0,0,6.528397,35.8562782,0,66.76145567,878.38397804,87.27811835,0,0,27.4358167,0,11.959916,4321.39350515,13.1952,2.332776,265.72657599,2.6211083,0,0,0,21.831374647,0,0,0,61.1304837,63.60259623,0,0,0,0,0.4031971,0.2105188,0,280.48573663,664.064986917,172.97629815,0,0,87.015034822,100.98867702,74.84977871,10.59195,0,0,1848.44295945,0,0.02256177,0,0,0.01180289,0,0.08862524,0,0,0.1392682,0,0,1.08196548,0,0,32.84398073,1.1808154,2.26273607
"5",0,0,0,0.29267834,0.1195846,20.9338478,0,0,1.854616,445.891147782,0.5548377,0,32.370312852,0.4352639,0,7.64262922,0,0,0,6.5696384,0,0,0,0,0,0,0,1.88943,1.584475,0,0,0,1.97523413,0.005878712,0,0.05350149,0,0.21031875,0,453.0362315,0,0,0,0.20153748,0.581579494,0,0,0,0.5968953,0,83.51749248,0.05532885,0.05783592,372.9053403,0.08356534,0.09121386,0,15.62722,0,483.1745268,432.1589531,0,0,0.5764352,0,13.05179,0,429.44215565,0,0,0.65193912,0.08335941,0,0,0,0,0,0,0,18.6450513,0,0.07275998,0,0,0.01790686,0.005773048,0.3132065,0.01731914,0,0,71.83708392,6.67925237,13.72668146,0,30.83769193,0,0,0,1779.354153648,0.28190365,1794.02199468,0,0.9051516,1.337537,0,0,0,0,0.004601754,0.78209646,0,0,0,0,72.78383079,4.5754573,0,102.36872383,169.55614508,12.74136514,0,0.1245871,0,9.313838,0,8.18982897,0.2236567,0.23464849,48.10703085,0,0.6224495,0,0,0,0,0,0,11.12622012,2.23816385,0,0.2025633,125.2620767,2.64165292,0,0,0,7.643293,0,65.99354989,1190.82160527,32.99629265,0,0,10.4614139,1.3865926,0,3199.4076627,1.1208717,0,54.14860777,2.35394608,0,0,0,20.7186148,0,0,0,47.1709414,4.3598468,0,0,0,0,0.8623584,0,0.09376333,0.49666465,404.7699188,14.33572325,0,0,3.3521622,124.31407055,91.8100071,14.995469,0,0.02006306,1093.70392282,0,0.9733684,0,0.1858067,0,0,0.0270104,0,0,0,0.01367556,0,16.9924325,0.03364037,0,34.84562548,1.03492091,2.85795251
"6",0,0.01127897,0,0.40331223,0.1557016,11.8986019,0,0,1.366065,562.2759312,0.309936,0,94.529788624,0,0,3.28294827,0,0,0,9.96091127,0,0,0.005740832,0.019634056,0,0,0,1.927443,0.3213081,0,0.09019043,0.01135425,3.4526686,0.109378501,0.005882576,0.05367393,0.02008281,1.09950069,0.12401205,878.0272842,0,0,0.2479488,0,1.27320509,0,0.01248917,0,0.5888783,0,33.53725661,0,0,381.9516153,0.7106128,0.09361773,0,0,0,307.16428607,438.667550489,0,0,1.297193,0,18.87019,0,310.46016334,0.09161407,0,0.83191931,0,0,0.02569887,0.01135392,0.04348783,0,0,0,12.0557751,0,0.1971484,0,0,0.005156541,0,0.08856509,0.02534439,0,0.005156541,67.29171396,12.003727626,7.907336106,0,41.478782674,0,0,0,1559.182266566,8.38930459,2224.85534934,2.245416,0,0,0,0,0,0,0.06609012,2.3903723,0,0,0,0,124.57394528,4.9776994,0,137.3524287,190.9226468,6.59251976,0,0,0.017378922,14.2096399,0,13.23444555,0,1.02321887,52.58582405,0.01131275,3.57038713,0.033301349,0,0,0.02353031,0,0,0.16475846,2.4278921,0,0.3141452,197.10178335,4.01094342,0.5622839,0,23.6067868,68.83085683,1.3611261,29.78227896,1333.465075349,238.407017627,0,0,8.5778566,0,33.310373,2556.58678692,8.12387706,111.25168436,133.07858606,2.3527336,0,0,0,54.7889863,0.5048763,0,0,132.3985054,68.7505894,8.1191784,0,0,1.27854362,0.44041523,13.002947,0.08392463,8.26931303,1209.01489983,412.43080244,0,47.24574,2.0505907,162.13466933,150.36153172,0,0,0,1396.10735098,0,0.021062299,0,0,0,0,0.086525242,0,0,0,0,0,103.2551037,0.22162079,0,46.47358506,0.33823192,5.326531128
"7",0,0.02689709,0,0.6026872,0.019354318,3.48924021,0,0,0,347.77544928,0.03967544,0,62.22118228,1.501637,0,0.0236038,0,0,0,8.52175838,0,0,0,0.01074517,0,0,0,0,1.2784234,0.1118094,0,0.04824002,7.22053657,0.089487844,0.02998738,0.02713798,0,0.58698197,0.07046802,1836.46916988,0,0.32687335,0.10920575,0,1.808570407,0,0,0,0.9724369,0,1.9896608,0,0.4676294,470.5659899,0.7236927,0.04923588,0,0,0,157.21335894,429.969256141,0,0,0,0,5.437598,0,238.0187349,0,0.3313774,0.36649015,0,0,0,0,0,0,0,0.04801064,15.4632823,0,0.24879374,0.008760923,0,0,0,0.31052547,0,1.125016,0,51.01956275,3.16028342,3.076887925,0,35.660292014,0,0,0,900.89667176,5.868828367,2641.00539718,0,0,0,0,0,0,0,0,7.30352276,0,0,0,0,79.26522684,0,0.010966165,94.6253068,173.55008395,1.465587205,0,0,0.01949872,6.2106588,0,10.97596804,0,0.74275605,84.29806857,0,0.76191567,0.012489488,0,0,0,0,0.04448299,0,0,0.3655483,2.3457384,144.6664991,2.13546674,0,0,3.439932,179.4750037,4.9032543,97.05110387,4957.9153246,98.192688589,0,1.53941809,29.1762582,0.8544896,127.6010531,1527.801026938,9.65365288,147.9634965,10.749005,14.4772718,0,0,0,109.306933,0,0,6.10145998,39.406615,82.0446044,8.947189,0,0,0,0.880116,12.317811,0.8495863,10.4077825,1108.88636273,33.51074513,0,1.42525,40.2092774,166.04383862,108.2747532,4.569891,0,0,196.35848206,0,0,0,0,0,0,0.006333341,0.1192545,0,0,0.05066673,0,5.511259,0.01229363,0,32.71444489,0.37703077,4.42991058
"8",0,0,6.448624,0.1560151,0.02063711,1.07907821,0,0,0,355.10790188,0.07400522,0,71.80043624,0.5029174,0,0.10162066,0.005484666,0,0.090191067,38.63644143,0,0,0.01344353,0.006390608,0,0,0,1.534148,0.94068493,0.0940433,0,0,41.4324646,0.04263497,0.02114435,0.1672102,0,2.53514382,0.14538282,1787.2583052,0,0.20623585,0.5313607,0,0.99871865,0,0.073142971,0.03277421,1.816718,0,0,0,0.02686951,348.31170327,0.1231462,0.1902991,0,7.071051,0,87.79618873,244.183484616,0,0,0,0,10.818535,0.009759727,225.60279191,0,0.01249317,1.94035186,0.02273531,0,0.05286128,0,0,0,0,0,11.6786074,0,0.14647748,0,0,0,0,0,0.01070807,0,0,86.51797155,18.38497763,45.150583232,0,55.047738005,0,0,0,453.865684982,0.29109412,1873.575981712,0,0,0,0,0,0,0,0,3.06763491,0,0,0,0.05016594,91.98718903,1.311829,0.041108856,73.6080673,113.08114285,0.7069268,0,0,0.15900563,11.64421,0,11.5221295,0,0.57898713,63.67910526,0,4.0127432,0.089461151,0,0,0,0,0,0,0,0,2.00867363,126.67292594,2.5512905,0,0,5.50808091,46.8343659,0.17824994,2.70613317,1077.88341984,27.903953159,0,0.3065872,2.8625433,0.5519591,4.095744422,471.572471706,1.09348254,15.0753127,659.76495721,3.268729869,0,0,0.1074781,79.208949744,0,0,0.1337835,24.35866008,13.8197336,0,0,0,0,0.1100244,0.7998959,0.2118239,2.4936254,456.252017362,297.782019699,0,0.2564184,11.95871531,115.4682746,131.05414882,224.42162,1.01256604,0.14648858,217.95429699,5.2199,0.021935254,0,0.006327815,0,0.03773538,0,0,0.006975413,0,0,0,0.1349675,0.01504276,0,19.84413626,0.15805202,4.10698329
"9",0,0,0,1.0704333,0.050076262,1.90182831,0,0,0,779.51358874,0,0,86.7206171,2.9551436,0,0.07347548,0,0,0.05350255,116.46957649,0,0,0,0,0,0,0,0,0,0,0,0,10.151563949,0.034120349,0.03699943,0.0287212,0,1.28002489,0.24605882,1719.76328939,0.01182069,0.19721542,0.3852183,0,0.65499165,0,0,0.02611671,1.5009392,0,0,0,0.0931877,590.8629176,0,0,0,0,0,57.17031031,326.45984409,0.5011328,0.03770191,0,0,15.35205,0,250.4567314,0,0,2.70127304,0.08315933,0,0.041598626,0,0,0,0.3103407,0,17.51835977,0,0.54047018,0,0,0,0,0.1329706,0.006560783,0,0,58.05008437,17.31522161,11.17663096,0,72.06355425,0,0.08371641,0,604.572426632,0,1695.6982354,0,0,2.321707,0,0,0,0,0,2.48661688,0,0,0,0,73.31200655,0,0,84.7714098,272.34634971,0.69759614,0,0,0.04064942,19.6414565,0,21.82023129,0,1.65200985,54.01382712,0,12.57918205,0.030612544,0,0,0,0.04154448,0.03043831,0,0,0.09753773,0.92152176,77.2557072,3.03052741,0,0,0,52.97900772,0,42.23635676,1036.564492924,114.76530142,0,0,26.3235229,0,1.3103989,2886.27812499,0.86629931,0,815.6637301,5.36680494,0,0,0,39.0764757,0,0,0,7.6195613,7.81001683,0,0,0,0,0,2.120947,0,4.815405,786.04342209,33.92216027,0,0,220.33249713,78.96203466,86.209322,16.145892,0,0,263.98816402,0,0,0,0,0,0,0.0126764,0,0,0,0,0,0.220492,0.023687261,0,16.86784789,0,4.95842004
"10",0.02591639,0.0713906,0,1.0338419,2.481198021,3.12828522,0,0,0.104654,708.21239234,0,0,85.48866971,0.5916526,0,0.26172613,0,0,0,163.34846687,0,0,0.006091375,0.036854286,0,0,0,0,0.928441,0.13300655,0,0.04256737,10.22191656,0.072602311,0,0.01822143,0,2.028252806,0.15958393,1433.53771854,0,0.0117576,1.2890101,0,0.34908272,0,0.018945001,0.02262257,1.393024,0.03104418,0.01230916,0.2143239,0.2987249,730.2148546,0.05943667,0.22152684,0,12.93088,0,159.4573739,536.22107508,0,0,0,0,2.093728,0,415.2125207,0,0,4.85142076,0.11735207,0.01345785,0,0.05239862,0,0,0,0,52.3742707,0,0.49250337,0,0,0.048519512,0,0,0.01190578,0,0,63.13998697,1.829398073,19.87095017,0.005092482,97.30964243,0,0,0.01219732,219.482638716,0.16791576,2171.52132257,0,0,1.7290536,0,0,0,0.006098659,0.02884131,1.88831706,0.006543766,0,0,0,149.63128744,0,0.245012624,111.6528403,429.8969665,3.72227959,0,0,0.03410024,15.2198752,0.08384575,72.40169713,0,2.13774345,50.26650294,0,8.0012692,0.07388387,0,0,0,0,0,0.1642084,0,0.22290552,2.74785397,99.52285068,3.59307143,0,0,1.51185635,36.24666702,0,10.59939572,671.775902887,68.18954665,0,0,0.5866297,0,12.25447967,2969.407628423,1.706065,0.02018678,394.59247509,20.35087095,0,0,0,42.4949227,0,0,0,46.3965103,11.70028201,0,0,0,0,0.9202573,8.835839,0,8.39315364,985.17439869,64.446110886,0,0.09716287,13.51982698,147.58272328,108.2593805,0,0.04660118,0,180.41199869,0,0.022046527,0,0,0,0,0,0,0,0,0.04479379,0,0,0.01144873,0,25.852353506,0.44296098,7.70645424
"11",0,0,0,0.4221373,0.05931842,3.2205086,0,0,0,460.38763806,0.3343904,0,72.0895666,0,0,0.25413044,0.019552881,0,0,234.8892598,0,0,0.01271402,0,0,0,0,0,0.8271372,0,0,0,5.29301637,0,0,0.05718296,0,1.46060673,0.08981205,2359.1352336,0,0,0,0,0.288762413,0,0,0,0.9512163,0,0.02308611,0,0,826.171756966,0,0.1604401,0,0,0,46.0855983,379.13327439,0,0,0,0,0,0,259.0174325,0,0,0.71194808,0.04757704,0,0,0,0,0.2370724,0,0,22.5421434,0,1.50091862,0,0.005537651,0,0,0.08442733,0,0,0,67.16774712,5.18460182,45.56980746,0,71.45758804,0,0,0,1713.518488053,0.0747437,1475.44019195,0,0,0.8359761,0,0,0,0,0,1.92679592,0,0,0,0,122.6791417,0,0,142.1573421,396.7550932,6.645770498,0,0,0.09679261,8.6476415,0,73.7377492,0,0.1819545,29.42276936,0,6.58290693,0.068616563,0,0,0,0,0,0,0,0,3.08335193,33.386007,4.0040892,0,0,6.6464207,11.74405537,0,25.39178488,1051.287844,63.91936396,0,0,19.744672309,0,7.85823365,1548.854262228,0.37805322,0.4875773,185.115199164,0.46575986,0.1705084,0.05189425,0,12.6513438,0.6372003,0,0,155.46864205,82.5577924,0,0,0.1522444,0,2.8491956,2.8114492,0,5.5597593,843.83017791,5.61133855,0,0,13.69838838,63.0396504,32.08700758,186.99235,0.02798893,0,231.36250813,0,0.008777821,0,0,0,0.01137216,0,0,0,0,0,0,0,0,0,3.012717792,0,2.99206546
"12",0,0.0236178,0,0.06118949,0.016383087,4.76001265,0,0,0,1901.48984235,0,0,100.433690876,0,0,0.73025116,0,0,0.03219442,447.75328146,0,0,0.02663088,0.070723624,0.02828625,0,0,1.835685,4.5180911,0,0,0.03140167,8.701311916,0.024102182,0.0346931,0.35223861,0,1.700046653,0.07821841,3731.73263734,0,0,1.682711,0,1.87490749,0,0,0.04153323,6.1315129,0,0,0,0.47937644,2878.72987462,0,0.33179008,0,0,0,930.0405859,665.76665639,0.5952281,1.074135,3.932723,0,0,0,1451.4828397,0,0,2.59720832,0,0,0.22460345,0,0,0,0,0,60.8566414,0.1128352,0.6871377,0,0,0.017305209,0,0.1095682,0,0,0,93.13627777,12.33241176,79.30321868,0,154.84643002,0,0,0,1572.255916829,0,3517.67499823,0,0,0,0,0,0,0,0,1.58636149,0,0,0,0,882.66803146,0,0.33546878,91.6091585,770.999502038,9.26214828,0,0,0.193144,11.62968,0,86.16662975,0,0.27235422,66.23719064,0.005312755,3.8454991,0.033290638,0.06202625,0,0,0,0,0,0,0.5469782,15.64347145,109.22076029,28.12513651,0,0,14.57095,20.13318159,0,11.24755644,1696.20699408,130.64892293,0,0,33.2015916,0,180.9126761,5719.033289484,11.67474,5.56967301,397.588777322,5.14162089,0,0.02952225,0,115.5423541,0,0,5.481584,961.22640763,87.05426802,0,0,0,0,2.0949664,0,0,360.23738031,518.282747006,11.519492438,0,0,11.60682942,198.06068962,217.49088635,0,0,0,471.71839826,0,0.013727769,0.006118949,0,0,1.93656242,0,0,0,0,0,0.1635504,0,0.01752059,0.2326114,23.52397343,0.21162235,6.58821397
"13",0,0.023248306,1.229822298,2.427004001,0,4.934252656,0,0,0,728.335496582,0,0.143385687,54.889761422,0.425705761,0,0.366556562,0.040634822,0.014768846,0,198.273707272,0,0,0,0,0,0,0,1.47776629,0,0,0,0,3.726602372,0.936670606,0.030539879,0.02414533,0,0.862992961,0.160551613,1623.18929184,0,0,4.799744804,0,5.527929692,0,0,0,2.117246062,0,0.213362459,0,0.480656353,740.279632784,0.166509152,0.397424071,0,0,0,75.743787547,800.225405184,0.175804155,1.95888468,0,0,0,0,913.438911721,0.025591218,0,0.996424526,0,0,0.15251281,0,0,0,0,0,33.266358142,0,0,0,0,0.073643632,0,0.064453712,0.050709999,0,0,78.352701025,11.812836209,14.440716922,0,90.548969628,0.006404198,0,0,898.993175653,0,1937.020465961,0,0,13.445268901,8.019492286,0,0,0,0,4.050642803,0,0,0,0,367.408660623,3.847921508,0,123.880221025,605.163813677,28.700286212,0.590199662,0,0.073899489,31.506716701,0,73.862302734,0,2.753109582,117.023286682,0,4.568032385,0.154005668,0,0,0,0,0,0.795703684,3.992777101,0,8.650505365,181.244617889,2.353059672,0,0,7.520960138,17.457144443,0,79.268255457,1013.582384309,134.664670987,0,0,2.096753709,0,0.672717857,2333.821393243,0.188361594,0.42540711,1546.094129496,3.42859191,0,0,0,61.592800058,0,0,0,244.042042694,77.160853992,0,0,0,0,0,0.322551872,0,8.231970463,745.260097627,12.939482179,0,0,13.595925621,235.560651062,180.129069957,206.81091992,0,0,73.724307087,0,0.015081404,0.006404198,0,0,4.003838465,0,0,0,0,0.064876153,0.220144362,10.880693533,0,0,28.134077297,0.012460853,6.285812711
