"","TL","DemersPelag","DepthRangeShallow","DepthRangeDeep","Length","BodyShapeI"
"Albatrossia pectoralis","4.3","bathydemersal","140","3500","210","elongated"
"Alepisaurus ferox","4.03","bathypelagic","0","1830","215","elongated"
"Alepocephalus tenebrosus",NA,"bathydemersal","46","5500","61","elongated"
"Alosa sapidissima","3.48","pelagic-neritic","0","250","76","fusiform / normal"
"Amblyraja badia",NA,"bathydemersal","1061","2322","86","other"
"Anoplogaster cornuta",NA,"bathypelagic","2","4992","18","short and / or deep"
"Anoplopoma fimbria","3.84","bathydemersal","175","2740","120","fusiform / normal"
"Antimora microlepis",NA,"bathypelagic","175","3048","75","fusiform / normal"
"Aphanopus carbo",NA,"bathypelagic","200","2300","151","eel-like"
"Aphanopus intermedius",NA,"benthopelagic","300","1350","148","eel-like"
"Apristurus brunneus","3.58","demersal","33","1306","69","elongated"
"Apristurus kampae",NA,"bathydemersal",NA,"1888","58.4","elongated"
"Arctozenus risso","3.22","bathypelagic","0","2200","30","elongated"
"Argentina sialis",NA,"demersal","11","325","22","elongated"
"Argyropelecus affinis",NA,"bathypelagic","1","3872","8.4","short and / or deep"
"Argyropelecus lychnus",NA,"bathypelagic","200","700","5.9","short and / or deep"
"Aristostomias scintillans",NA,"bathypelagic","0","1219","23","elongated"
"Atheresthes stomias","4.17","demersal","18","950","84","short and / or deep"
"Atherinops affinis",NA,"pelagic-neritic",NA,"26","37","elongated"
"Avocettina infans",NA,"bathypelagic","785","4580","80","eel-like"
"Bajacalifornia burragei",NA,"bathypelagic",NA,"1080","18.1","elongated"
"Bajacalifornia erimoensis",NA,"bathypelagic","892","966","36.6","elongated"
"Bathophilus flemingi",NA,"bathypelagic","225","1370","16","elongated"
"Bathyagonus nigripinnis",NA,"demersal","18","1290","24.2","elongated"
"Bathyagonus pentacanthus",NA,"demersal","110","910","23","elongated"
"Bathylagus pacificus",NA,"bathypelagic","600","7700","25","fusiform / normal"
"Bathyraja abyssicola",NA,"bathydemersal","362","2910","157","other"
"Bathyraja aleutica",NA,"bathydemersal","15","1602","161","other"
"Bathyraja trachura",NA,"bathydemersal","213","2550","91","other"
"Benthalbella dentata",NA,"bathypelagic","98","3400","26.2","elongated"
"Borostomias panamensis",NA,"bathypelagic","500","1800","30","elongated"
"Bothrocara brunneum","3.61","bathydemersal","129","2570","74","eel-like"
"Bothrocara molle",NA,"bathydemersal","60","2688","56","eel-like"
"Careproctus colletti",NA,"bathydemersal","64","1350","44","elongated"
"Careproctus cypselurus",NA,"bathydemersal","35","1775","32.3","elongated"
"Careproctus gilberti",NA,"bathydemersal","73","886","8.9",NA
"Careproctus melanurus",NA,"bathydemersal","89","2286","54","fusiform / normal"
"Caristius macropus",NA,"bathypelagic","200","1450","32","short and / or deep"
"Cataetyx rubrirostris",NA,"bathydemersal","300","1000","15.7","elongated"
"Caulophryne jordani",NA,"bathypelagic","100","1510","11","short and / or deep"
"Centroscyllium nigrum",NA,"benthopelagic","269","1170","51","elongated"
"Chaenophryne draco",NA,"bathypelagic","350","1750","12.3","short and / or deep"
"Chauliodus macouni","4.5","bathypelagic","25","4390","29.3","elongated"
"Chiasmodon niger",NA,"pelagic-oceanic","700","2745","25","elongated"
"Coryphaenoides acrolepis",NA,"bathydemersal","300","3700","104","elongated"
"Coryphaenoides cinereus",NA,"bathydemersal","150","3500","66","elongated"
"Coryphaenoides filifer",NA,"bathydemersal","1285","2904","55","elongated"
"Cryptopsaras couesii",NA,"bathypelagic","0","3085","7.3","short and / or deep"
"Desmodema lorum",NA,"pelagic-oceanic","0","500","114","elongated"
"Diaphus theta","3.19","bathypelagic","10","3400","11.4","fusiform / normal"
"Dicrolene filamentosa",NA,"bathydemersal","935","1867","44","eel-like"
"Dolichopteryx longipes",NA,"bathypelagic","500","2400","18","elongated"
"Elassodiscus caudatus",NA,"bathydemersal","335","1040","8.5",NA
"Elassodiscus tremebundus",NA,"bathydemersal","130","1800","34.3",NA
"Embassichthys bathybius",NA,"bathydemersal","41","1800","47","short and / or deep"
"Engraulis mordax",NA,"pelagic-neritic","0","310","24.8","elongated"
"Eptatretus deani",NA,"bathydemersal","103","2743","63.5","eel-like"
"Eptatretus stoutii",NA,"demersal","16","966","63.5","eel-like"
"Eurypharynx pelecanoides",NA,"bathypelagic","500","7625","100","eel-like"
"Facciolella gilbertii",NA,"benthopelagic",NA,"935","61","eel-like"
"Gigantactis vanhoeffeni",NA,"bathypelagic","300","5300",NA,"short and / or deep"
"Glyptocephalus zachirus","3.25","demersal","0","900","60","short and / or deep"
"Halargyreus johnsonii",NA,"bathypelagic","450","3000","56","elongated"
"Harriotta raleighana",NA,"bathydemersal","200","3100","120","elongated"
"Hydrolagus colliei",NA,"demersal","0","913","100","elongated"
"Icelinus filamentosus",NA,"demersal","18","800","27","elongated"
"Icelinus fimbriatus",NA,"demersal","50","265","19","fusiform / normal"
"Icichthys lockingtoni",NA,"pelagic-oceanic","0","900","46","short and / or deep"
"Icosteus aenigmaticus",NA,"bathypelagic","0","1420","213","short and / or deep"
"Idiacanthus antrostomus",NA,"bathypelagic","0","1103","33","elongated"
"Kali indica",NA,"bathypelagic","1000","3300","26.15","elongated"
"Lampanyctus jordani",NA,"bathypelagic","588","3400","14","elongated"
"Lamprogrammus niger",NA,"bathypelagic","741","2000","61","eel-like"
"Lepidopus fitchi",NA,"benthopelagic","100","500","210","elongated"
"Lestidiops ringens",NA,"bathypelagic","0","3290","21","elongated"
"Leuroglossus stilbius",NA,"bathypelagic","100","850","15","elongated"
"Lycenchelys camchatica",NA,"bathydemersal","200","2100","14.5",NA
"Lycenchelys crotalinus",NA,"bathydemersal","200","2816","42.2","elongated"
"Lycodapus dermatinus",NA,"bathydemersal",NA,"1010","8.9",NA
"Lycodapus endemoscotus",NA,"bathypelagic",NA,"2225","12.4","elongated"
"Lycodapus fierasfer",NA,"bathypelagic","50","2212","15","elongated"
"Lycodapus mandibularis",NA,"bathypelagic","100","1370","20","eel-like"
"Lycodapus parviceps",NA,"bathypelagic","0","199","9.8","elongated"
"Lycodes cortezianus",NA,"bathydemersal","73","620","50","elongated"
"Lycodes diapterus",NA,"bathydemersal","146","844","33","eel-like"
"Lycodes pacificus",NA,"bathydemersal","9","399","46","elongated"
"Lyopsetta exilis","3.45","bathydemersal","25","800","35","short and / or deep"
"Macropinna microstoma",NA,"bathypelagic","16","1267","15","fusiform / normal"
"Magnisudis atlantica","3.65","pelagic-oceanic","0","4750","56","elongated"
"Malacocephalus laevis",NA,"bathydemersal","200","1000","60","elongated"
"Maulisia mauli",NA,"bathypelagic","324","2100","20","elongated"
"Melamphaes lugubris",NA,"bathypelagic","50","3400","8.5","fusiform / normal"
"Melanocetus johnsonii",NA,"bathypelagic","100","4500","2.9","short and / or deep"
"Melanonus zugmayeri",NA,"bathypelagic","991","3000","28","elongated"
"Melanostigma pammelas",NA,"bathypelagic","699",NA,"11","eel-like"
"Merluccius productus","4.35","pelagic-neritic","0","1000","91","elongated"
"Microstomus pacificus","3.22","demersal","10","1370","76","short and / or deep"
"Mustelus henlei","3.61","demersal","0","281","100","elongated"
"Mustelus lunulatus","3.9","demersal","10","94","175","elongated"
"Nansenia candida",NA,"bathypelagic","83","1800","22.2","elongated"
"Nectoliparis pelagicus",NA,"bathypelagic","0","3383","6.5","elongated"
"Nemichthys larseni",NA,"bathypelagic","170","1280","160.7","eel-like"
"Nemichthys scolopaceus","3.5","bathypelagic","100","4337","130","eel-like"
"Nezumia liolepis",NA,"bathydemersal","768","1660","30","elongated"
"Nezumia stelgidolepis",NA,"bathydemersal","277","909","45","elongated"
"Oneirodes acanthias",NA,"bathypelagic","0","1750","20","short and / or deep"
"Oneirodes thompsoni","4.2","bathypelagic","100","2014","21","short and / or deep"
"Paralichthys californicus",NA,"demersal","0","183","152","short and / or deep"
"Paraliparis cephalus",NA,"bathydemersal","294","1800","8.2","elongated"
"Paraliparis dactylosus",NA,"bathydemersal","541","1000","8.9",NA
"Paraliparis pectoralis",NA,"bathydemersal","681","1636","21.8",NA
"Paraliparis rosaceus",NA,"bathydemersal","1050","3358","40","fusiform / normal"
"Parmaturus xaniurus","3.78","bathydemersal","88","1250","45","elongated"
"Physiculus rastrelliger",NA,"demersal","128","523","25","elongated"
"Platytroctes apus",NA,"bathypelagic","385","5393","18","fusiform / normal"
"Poromitra crassiceps",NA,"bathypelagic","164","2730","14.8","fusiform / normal"
"Psychrolutes phrictus",NA,"bathydemersal","500","2800","70","elongated"
"Radulinus asprellus",NA,"demersal","18","284","15","elongated"
"Rhinoliparis attenuatus",NA,"bathydemersal","350","2189","11","elongated"
"Rhinoliparis barbulifer",NA,"bathydemersal","28","2189","8.8","elongated"
"Sagamichthys abei",NA,"bathypelagic","37","1500","33","elongated"
"Sardinops sagax","2.84","pelagic-neritic","0","200","39.5","fusiform / normal"
"Scomber japonicus","3.38","pelagic-neritic","0","300","64","fusiform / normal"
"Scopelengys tristis",NA,"bathypelagic","400","1830","20","fusiform / normal"
"Scopelosaurus harryi","3.13","bathypelagic","0","1500","32","elongated"
"Scorpaena guttata",NA,"demersal",NA,"183","43","fusiform / normal"
"Sebastes alutus","3.48","bathydemersal","0","825","53","fusiform / normal"
"Sebastes aurora",NA,"bathydemersal","124","769","41","elongated"
"Sebastes diploproa",NA,"bathydemersal","0","800","46","fusiform / normal"
"Sebastes melanostomus",NA,"bathydemersal","124","769","61","fusiform / normal"
"Sebastolobus alascanus","3.62","demersal","17","1600","80","fusiform / normal"
"Sebastolobus altivelis",NA,"bathydemersal","201","1757","39","fusiform / normal"
"Serrivomer jesperseni",NA,"bathypelagic",NA,"825","67","eel-like"
"Serrivomer sector",NA,"bathypelagic","0","3243","76","eel-like"
"Somniosus pacificus","4.36","benthopelagic","0","2205","440","elongated"
"Squalus suckleyi",NA,"benthopelagic","15","1244","140","fusiform / normal"
"Stenobrachius leucopsarus","3.1","bathypelagic","31","3400","13","fusiform / normal"
"Sternoptyx diaphana","3.44","bathypelagic","400","3676","5.5","short and / or deep"
"Stomias atriventer",NA,"bathypelagic","100","1500","25","elongated"
"Symbolophorus californiensis",NA,"pelagic-oceanic","557","1497","11","elongated"
"Tactostoma macropus","4.2","bathypelagic","30","2000","34.3","eel-like"
"Talismania bifurcata",NA,"bathydemersal","300","2000","27.7","elongated"
"Tarletonbeania crenularis",NA,"bathypelagic","0","710","12.7","fusiform / normal"
"Trachipterus altivelis",NA,"pelagic-oceanic","0","900","183","eel-like"
"Trachurus symmetricus","3.57","pelagic-oceanic","0","400","81","fusiform / normal"
"Venefica tentaculata",NA,"bathydemersal","1464","1790","90","eel-like"
"Xeneretmus latifrons",NA,"bathydemersal","18","400","19","elongated"
"Zesticelus profundorum",NA,"bathydemersal","88","2580","6.4","elongated"
